id_orders,id_store,id_suppliers
264,ST112,4
265,ST013,5
266,ST113,6
267,ST014,7
268,ST114,8
269,ST015,9
270,ST115,10
271,ST016,11
272,ST116,12
273,ST017,13
274,ST117,14
275,ST018,15
276,ST118,16
277,ST019,17
278,ST119,18
279,ST020,19
280,ST120,20
281,ST001,1
282,ST101,2
283,ST002,3
284,ST102,4
285,ST003,5
286,ST103,6
287,ST004,7
288,ST104,8
289,ST005,9
290,ST105,10
291,ST006,11
292,ST106,12
293,ST007,13
294,ST107,14
295,ST008,15
296,ST108,16
297,ST009,17
298,ST109,18
299,ST010,19
300,ST110,20
301,ST011,1
302,ST111,2
303,ST012,3
304,ST112,4
305,ST013,5
306,ST113,6
307,ST014,7
308,ST114,8
309,ST015,9
310,ST115,10
311,ST016,11
312,ST116,12
313,ST017,13
314,ST117,14
315,ST018,15
316,ST118,16
317,ST019,17
318,ST119,18
319,ST020,19
320,ST120,20
321,ST001,1
322,ST101,2
323,ST002,3
324,ST102,4
325,ST003,5
326,ST103,6
327,ST004,7
328,ST104,8
329,ST005,9
330,ST105,10
331,ST006,11
332,ST106,12
333,ST007,13
334,ST107,14
335,ST008,15
336,ST108,16
337,ST009,17
338,ST109,18
339,ST010,19
340,ST110,20
341,ST011,1
342,ST111,2
343,ST012,3
344,ST112,4
345,ST013,5
346,ST113,6
347,ST014,7
348,ST114,8
349,ST015,9
350,ST115,10
351,ST016,11
352,ST116,12
353,ST017,13
354,ST117,14
355,ST018,15
356,ST118,16
357,ST019,17
358,ST119,18
359,ST020,19
360,ST120,20
361,ST001,1
362,ST101,2
363,ST002,3
364,ST102,4
365,ST003,5
366,ST103,6
367,ST004,7
368,ST104,8
369,ST005,9
370,ST105,10
371,ST006,11
372,ST106,12
373,ST007,13
374,ST107,14
375,ST008,15
376,ST108,16
377,ST009,17
378,ST109,18
379,ST010,19
380,ST110,20
381,ST011,1
382,ST111,2
383,ST012,3
384,ST112,4
385,ST013,5
386,ST113,6
387,ST014,7
388,ST114,8
389,ST015,9
390,ST115,10
391,ST016,11
392,ST116,12
393,ST017,13
394,ST117,14
395,ST018,15
396,ST118,16
397,ST019,17
398,ST119,18
399,ST020,19
400,ST120,20
401,ST001,1
402,ST101,2
403,ST002,3
404,ST102,4
405,ST003,5
406,ST103,6
407,ST004,7
408,ST104,8
409,ST005,9
410,ST105,10
411,ST006,11
412,ST106,12
413,ST007,13
414,ST107,14
415,ST008,15
416,ST108,16
417,ST009,17
418,ST109,18
419,ST010,19
420,ST110,20
421,ST011,1
422,ST111,2
423,ST012,3
424,ST112,4
425,ST013,5
426,ST113,6
427,ST014,7
428,ST114,8
429,ST015,9
430,ST115,10
431,ST016,11
432,ST116,12
433,ST017,13
434,ST117,14
435,ST018,15
436,ST118,16
437,ST019,17
438,ST119,18
439,ST020,19
440,ST120,20
441,ST001,1
442,ST101,2
443,ST002,3
444,ST102,4
445,ST003,5
446,ST103,6
447,ST004,7
448,ST104,8
449,ST005,9
450,ST105,10
451,ST006,11
452,ST106,12
453,ST007,13
454,ST107,14
455,ST008,15
456,ST108,16
457,ST009,17
458,ST109,18
459,ST010,19
460,ST110,20
461,ST011,1
462,ST111,2
463,ST012,3
464,ST112,4
465,ST013,5
466,ST113,6
467,ST014,7
468,ST114,8
469,ST015,9
470,ST115,10
471,ST016,11
472,ST116,12
473,ST017,13
474,ST117,14
475,ST018,15
476,ST118,16
477,ST019,17
478,ST119,18
479,ST020,19
480,ST120,20
481,ST001,1
482,ST101,2
483,ST002,3
484,ST102,4
485,ST003,5
486,ST103,6
487,ST004,7
488,ST104,8
489,ST005,9
490,ST105,10
491,ST006,11
492,ST106,12
493,ST007,13
494,ST107,14
495,ST008,15
496,ST108,16
497,ST009,17
498,ST109,18
499,ST010,19
500,ST110,20
501,ST011,1
502,ST111,2
503,ST012,3
504,ST112,4
505,ST013,5
506,ST113,6
507,ST014,7
508,ST114,8
509,ST015,9
510,ST115,10
511,ST016,11
512,ST116,12
513,ST017,13
514,ST117,14
515,ST018,15
516,ST118,16
517,ST019,17
518,ST119,18
519,ST020,19
520,ST120,20
521,ST001,1
522,ST101,2
523,ST002,3
524,ST102,4
525,ST003,5
526,ST103,6
527,ST004,7
528,ST104,8
529,ST005,9
530,ST105,10
531,ST006,11
532,ST106,12
533,ST007,13
534,ST107,14
535,ST008,15
536,ST108,16
537,ST009,17
538,ST109,18
539,ST010,19
540,ST110,20
541,ST011,1
542,ST111,2
543,ST012,3
544,ST112,4
545,ST013,5
546,ST113,6
547,ST014,7
548,ST114,8
549,ST015,9
550,ST115,10
551,ST016,11
552,ST116,12
553,ST017,13
554,ST117,14
555,ST018,15
556,ST118,16
557,ST019,17
558,ST119,18
559,ST020,19
560,ST120,20
561,ST001,1
562,ST101,2
563,ST002,3
564,ST102,4
565,ST003,5
566,ST103,6
567,ST004,7
568,ST104,8
569,ST005,9
570,ST105,10
571,ST006,11
572,ST106,12
573,ST007,13
574,ST107,14
575,ST008,15
576,ST108,16
577,ST009,17
578,ST109,18
579,ST010,19
580,ST110,20
581,ST011,1
582,ST111,2
583,ST012,3
584,ST112,4
585,ST013,5
586,ST113,6
587,ST014,7
588,ST114,8
589,ST015,9
590,ST115,10
591,ST016,11
592,ST116,12
593,ST017,13
594,ST117,14
595,ST018,15
596,ST118,16
597,ST019,17
598,ST119,18
599,ST020,19
600,ST120,20
601,ST001,1
602,ST101,2
603,ST002,3
604,ST102,4
605,ST003,5
606,ST103,6
607,ST004,7
608,ST104,8
609,ST005,9
610,ST105,10
611,ST006,11
612,ST106,12
613,ST007,13
614,ST107,14
615,ST008,15
616,ST108,16
617,ST009,17
618,ST109,18
619,ST010,19
620,ST110,20
621,ST011,1
622,ST111,2
623,ST012,3
624,ST112,4
625,ST013,5
626,ST113,6
627,ST014,7
628,ST114,8
629,ST015,9
630,ST115,10
631,ST016,11
632,ST116,12
633,ST017,13
634,ST117,14
635,ST018,15
636,ST118,16
637,ST019,17
638,ST119,18
639,ST020,19
640,ST120,20
641,ST001,1
642,ST101,2
643,ST002,3
644,ST102,4
645,ST003,5
646,ST103,6
647,ST004,7
648,ST104,8
649,ST005,9
650,ST105,10
651,ST006,11
652,ST106,12
653,ST007,13
654,ST107,14
655,ST008,15
656,ST108,16
657,ST009,17
658,ST109,18
659,ST010,19
660,ST110,20
661,ST011,1
662,ST111,2
663,ST012,3
664,ST112,4
665,ST013,5
666,ST113,6
667,ST014,7
668,ST114,8
669,ST015,9
670,ST115,10
671,ST016,11
672,ST116,12
673,ST017,13
674,ST117,14
675,ST018,15
676,ST118,16
677,ST019,17
678,ST119,18
679,ST020,19
680,ST120,20
681,ST001,1
682,ST101,2
683,ST002,3
684,ST102,4
685,ST003,5
686,ST103,6
687,ST004,7
688,ST104,8
689,ST005,9
690,ST105,10
691,ST006,11
692,ST106,12
693,ST007,13
694,ST107,14
695,ST008,15
696,ST108,16
697,ST009,17
698,ST109,18
699,ST010,19
700,ST110,20
701,ST011,1
702,ST111,2
703,ST012,3
704,ST112,4
705,ST013,5
706,ST113,6
707,ST014,7
708,ST114,8
709,ST015,9
710,ST115,10
711,ST016,11
712,ST116,12
713,ST017,13
714,ST117,14
715,ST018,15
716,ST118,16
717,ST019,17
718,ST119,18
719,ST020,19
720,ST120,20
721,ST001,1
722,ST101,2
723,ST002,3
724,ST102,4
725,ST003,5
726,ST103,6
727,ST004,7
728,ST104,8
729,ST005,9
730,ST105,10
731,ST006,11
732,ST106,12
733,ST007,13
734,ST107,14
735,ST008,15
736,ST108,16
737,ST009,17
738,ST109,18
739,ST010,19
740,ST110,20
741,ST011,1
742,ST111,2
743,ST012,3
744,ST112,4
745,ST013,5
746,ST113,6
747,ST014,7
748,ST114,8
749,ST015,9
750,ST115,10
751,ST016,11
752,ST116,12
753,ST017,13
754,ST117,14
755,ST018,15
756,ST118,16
757,ST019,17
758,ST119,18
759,ST020,19
760,ST120,20
761,ST001,1
762,ST101,2
763,ST002,3
764,ST102,4
765,ST003,5
766,ST103,6
767,ST004,7
768,ST104,8
769,ST005,9
770,ST105,10
771,ST006,11
772,ST106,12
773,ST007,13
774,ST107,14
775,ST008,15
776,ST108,16
777,ST009,17
778,ST109,18
779,ST010,19
780,ST110,20
781,ST011,1
782,ST111,2
783,ST012,3
784,ST112,4
785,ST013,5
786,ST113,6
787,ST014,7
788,ST114,8
789,ST015,9
790,ST115,10
791,ST016,11
792,ST116,12
793,ST017,13
794,ST117,14
795,ST018,15
796,ST118,16
797,ST019,17
798,ST119,18
799,ST020,19
800,ST120,20
801,ST001,1
802,ST101,2
803,ST002,3
804,ST102,4
805,ST003,5
806,ST103,6
807,ST004,7
808,ST104,8
809,ST005,9
810,ST105,10
811,ST006,11
812,ST106,12
813,ST007,13
814,ST107,14
815,ST008,15
816,ST108,16
817,ST009,17
818,ST109,18
819,ST010,19
820,ST110,20
821,ST011,1
822,ST111,2
823,ST012,3
824,ST112,4
825,ST013,5
826,ST113,6
827,ST014,7
828,ST114,8
829,ST015,9
830,ST115,10
831,ST016,11
832,ST116,12
833,ST017,13
834,ST117,14
835,ST018,15
836,ST118,16
837,ST019,17
838,ST119,18
839,ST020,19
840,ST120,20
841,ST001,1
842,ST101,2
843,ST002,3
844,ST102,4
845,ST003,5
846,ST103,6
847,ST004,7
848,ST104,8
849,ST005,9
850,ST105,10
851,ST006,11
852,ST106,12
853,ST007,13
854,ST107,14
855,ST008,15
856,ST108,16
857,ST009,17
858,ST109,18
859,ST010,19
860,ST110,20
861,ST011,1
862,ST111,2
863,ST012,3
864,ST112,4
865,ST013,5
866,ST113,6
867,ST014,7
868,ST114,8
869,ST015,9
870,ST115,10
871,ST016,11
872,ST116,12
873,ST017,13
874,ST117,14
875,ST018,15
876,ST118,16
877,ST019,17
878,ST119,18
879,ST020,19
880,ST120,20
881,ST001,1
882,ST101,2
883,ST002,3
884,ST102,4
885,ST003,5
886,ST103,6
887,ST004,7
888,ST104,8
889,ST005,9
890,ST105,10
891,ST006,11
892,ST106,12
893,ST007,13
894,ST107,14
895,ST008,15
896,ST108,16
897,ST009,17
898,ST109,18
899,ST010,19
900,ST110,20
901,ST011,1
902,ST111,2
903,ST012,3
904,ST112,4
905,ST013,5
906,ST113,6
907,ST014,7
908,ST114,8
909,ST015,9
910,ST115,10
911,ST016,11
912,ST116,12
913,ST017,13
914,ST117,14
915,ST018,15
916,ST118,16
917,ST019,17
918,ST119,18
919,ST020,19
920,ST120,20
921,ST001,1
922,ST101,2
923,ST002,3
924,ST102,4
925,ST003,5
926,ST103,6
927,ST004,7
928,ST104,8
929,ST005,9
930,ST105,10
931,ST006,11
932,ST106,12
933,ST007,13
934,ST107,14
935,ST008,15
936,ST108,16
937,ST009,17
938,ST109,18
939,ST010,19
940,ST110,20
941,ST011,1
942,ST111,2
943,ST012,3
944,ST112,4
945,ST013,5
946,ST113,6
947,ST014,7
948,ST114,8
949,ST015,9
950,ST115,10
951,ST016,11
952,ST116,12
953,ST017,13
954,ST117,14
955,ST018,15
956,ST118,16
957,ST019,17
958,ST119,18
959,ST020,19
960,ST120,20
961,ST001,1
962,ST101,2
963,ST002,3
964,ST102,4
965,ST003,5
966,ST103,6
967,ST004,7
968,ST104,8
969,ST005,9
970,ST105,10
971,ST006,11
972,ST106,12
973,ST007,13
974,ST107,14
975,ST008,15
976,ST108,16
977,ST009,17
978,ST109,18
979,ST010,19
980,ST110,20
981,ST011,1
982,ST111,2
983,ST012,3
984,ST112,4
985,ST013,5
986,ST113,6
987,ST014,7
988,ST114,8
989,ST015,9
990,ST115,10
991,ST016,11
992,ST116,12
993,ST017,13
994,ST117,14
995,ST018,15
996,ST118,16
997,ST019,17
998,ST119,18
999,ST020,19
1000,ST120,20
1001,ST001,1
1002,ST101,2
1003,ST002,3
1004,ST102,4
1005,ST003,5
1006,ST103,6
1007,ST004,7
1008,ST104,8
1009,ST005,9
1010,ST105,10
1011,ST006,11
1012,ST106,12
1013,ST007,13
1014,ST107,14
1015,ST008,15
1016,ST108,16
1017,ST009,17
1018,ST109,18
1019,ST010,19
1020,ST110,20
1021,ST011,1
1022,ST111,2
1023,ST012,3
1024,ST112,4
1025,ST013,5
1026,ST113,6
1027,ST014,7
1028,ST114,8
1029,ST015,9
1030,ST115,10
1031,ST016,11
1032,ST116,12
1033,ST017,13
1034,ST117,14
1035,ST018,15
1036,ST118,16
1037,ST019,17
1038,ST119,18
1039,ST020,19
1040,ST120,20
1041,ST001,1
1042,ST101,2
1043,ST002,3
1044,ST102,4
1045,ST003,5
1046,ST103,6
1047,ST004,7
1048,ST104,8
1049,ST005,9
1050,ST105,10
1051,ST006,11
1052,ST106,12
1053,ST007,13
1054,ST107,14
1055,ST008,15
1056,ST108,16
1057,ST009,17
1058,ST109,18
1059,ST010,19
1060,ST110,20
1061,ST011,1
1062,ST111,2
1063,ST012,3
1064,ST112,4
1065,ST013,5
1066,ST113,6
1067,ST014,7
1068,ST114,8
1069,ST015,9
1070,ST115,10
1071,ST016,11
1072,ST116,12
1073,ST017,13
1074,ST117,14
1075,ST018,15
1076,ST118,16
1077,ST019,17
1078,ST119,18
1079,ST020,19
1080,ST120,20
1081,ST001,1
1082,ST101,2
1083,ST002,3
1084,ST102,4
1085,ST003,5
1086,ST103,6
1087,ST004,7
1088,ST104,8
1089,ST005,9
1090,ST105,10
1091,ST006,11
1092,ST106,12
1093,ST007,13
1094,ST107,14
1095,ST008,15
1096,ST108,16
1097,ST009,17
1098,ST109,18
1099,ST010,19
1100,ST110,20
1101,ST011,1
1102,ST111,2
1103,ST012,3
1104,ST112,4
1105,ST013,5
1106,ST113,6
1107,ST014,7
1108,ST114,8
1109,ST015,9
1110,ST115,10
1111,ST016,11
1112,ST116,12
1113,ST017,13
1114,ST117,14
1115,ST018,15
1116,ST118,16
1117,ST019,17
1118,ST119,18
1119,ST020,19
1120,ST120,20
1121,ST001,1
1122,ST101,2
1123,ST002,3
1124,ST102,4
1125,ST003,5
1126,ST103,6
1127,ST004,7
1128,ST104,8
1129,ST005,9
1130,ST105,10
1131,ST006,11
1132,ST106,12
1133,ST007,13
1134,ST107,14
1135,ST008,15
1136,ST108,16
1137,ST009,17
1138,ST109,18
1139,ST010,19
1140,ST110,20
1141,ST011,1
1142,ST111,2
1143,ST012,3
1144,ST112,4
1145,ST013,5
1146,ST113,6
1147,ST014,7
1148,ST114,8
1149,ST015,9
1150,ST115,10
1151,ST016,11
1152,ST116,12
1153,ST017,13
1154,ST117,14
1155,ST018,15
1156,ST118,16
1157,ST019,17
1158,ST119,18
1159,ST020,19
1160,ST120,20
1161,ST001,1
1162,ST101,2
1163,ST002,3
1164,ST102,4
1165,ST003,5
1166,ST103,6
1167,ST004,7
1168,ST104,8
1169,ST005,9
1170,ST105,10
1171,ST006,11
1172,ST106,12
1173,ST007,13
1174,ST107,14
1175,ST008,15
1176,ST108,16
1177,ST009,17
1178,ST109,18
1179,ST010,19
1180,ST110,20
1181,ST011,1
1182,ST111,2
1183,ST012,3
1184,ST112,4
1185,ST013,5
1186,ST113,6
1187,ST014,7
1188,ST114,8
1189,ST015,9
1190,ST115,10
1191,ST016,11
1192,ST116,12
1193,ST017,13
1194,ST117,14
1195,ST018,15
1196,ST118,16
1197,ST019,17
1198,ST119,18
1199,ST020,19
1200,ST120,20
1201,ST001,1
1202,ST101,2
1203,ST002,3
1204,ST102,4
1205,ST003,5
1206,ST103,6
1207,ST004,7
1208,ST104,8
1209,ST005,9
1210,ST105,10
1211,ST006,11
1212,ST106,12
1213,ST007,13
1214,ST107,14
1215,ST008,15
1216,ST108,16
1217,ST009,17
1218,ST109,18
1219,ST010,19
1220,ST110,20
1221,ST011,1
1222,ST111,2
1223,ST012,3
1224,ST112,4
1225,ST013,5
1226,ST113,6
1227,ST014,7
1228,ST114,8
1229,ST015,9
1230,ST115,10
1231,ST016,11
1232,ST116,12
1233,ST017,13
1234,ST117,14
1235,ST018,15
1236,ST118,16
1237,ST019,17
1238,ST119,18
1239,ST020,19
1240,ST120,20
1241,ST001,1
1242,ST101,2
1243,ST002,3
1244,ST102,4
1245,ST003,5
1246,ST103,6
1247,ST004,7
1248,ST104,8
1249,ST005,9
1250,ST105,10
1251,ST006,11
1252,ST106,12
1253,ST007,13
1254,ST107,14
1255,ST008,15
1256,ST108,16
1257,ST009,17
1258,ST109,18
1259,ST010,19
1260,ST110,20
1261,ST011,1
1262,ST111,2
1263,ST012,3
1264,ST112,4
1265,ST013,5
1266,ST113,6
1267,ST014,7
1268,ST114,8
1269,ST015,9
1270,ST115,10
1271,ST016,11
1272,ST116,12
1273,ST017,13
1274,ST117,14
1275,ST018,15
1276,ST118,16
1277,ST019,17
1278,ST119,18
1279,ST020,19
1280,ST120,20
1281,ST001,1
1282,ST101,2
1283,ST002,3
1284,ST102,4
1285,ST003,5
1286,ST103,6
1287,ST004,7
1288,ST104,8
1289,ST005,9
1290,ST105,10
1291,ST006,11
1292,ST106,12
1293,ST007,13
1294,ST107,14
1295,ST008,15
1296,ST108,16
1297,ST009,17
1298,ST109,18
1299,ST010,19
1300,ST110,20
1301,ST011,1
1302,ST111,2
1303,ST012,3
1304,ST112,4
1305,ST013,5
1306,ST113,6
1307,ST014,7
1308,ST114,8
1309,ST015,9
1310,ST115,10
1311,ST016,11
1312,ST116,12
1313,ST017,13
1314,ST117,14
1315,ST018,15
1316,ST118,16
1317,ST019,17
1318,ST119,18
1319,ST020,19
1320,ST120,20
1321,ST001,1
1322,ST101,2
1323,ST002,3
1324,ST102,4
1325,ST003,5
1326,ST103,6
1327,ST004,7
1328,ST104,8
1329,ST005,9
1330,ST105,10
1331,ST006,11
1332,ST106,12
1333,ST007,13
1334,ST107,14
1335,ST008,15
1336,ST108,16
1337,ST009,17
1338,ST109,18
1339,ST010,19
1340,ST110,20
1341,ST011,1
1342,ST111,2
1343,ST012,3
1344,ST112,4
1345,ST013,5
1346,ST113,6
1347,ST014,7
1348,ST114,8
1349,ST015,9
1350,ST115,10
1351,ST016,11
1352,ST116,12
1353,ST017,13
1354,ST117,14
1355,ST018,15
1356,ST118,16
1357,ST019,17
1358,ST119,18
1359,ST020,19
1360,ST120,20
1361,ST001,1
1362,ST101,2
1363,ST002,3
1364,ST102,4
1365,ST003,5
1366,ST103,6
1367,ST004,7
1368,ST104,8
1369,ST005,9
1370,ST105,10
1371,ST006,11
1372,ST106,12
1373,ST007,13
1374,ST107,14
1375,ST008,15
1376,ST108,16
1377,ST009,17
1378,ST109,18
1379,ST010,19
1380,ST110,20
1381,ST011,1
1382,ST111,2
1383,ST012,3
1384,ST112,4
1385,ST013,5
1386,ST113,6
1387,ST014,7
1388,ST114,8
1389,ST015,9
1390,ST115,10
1391,ST016,11
1392,ST116,12
1393,ST017,13
1394,ST117,14
1395,ST018,15
1396,ST118,16
1397,ST019,17
1398,ST119,18
1399,ST020,19
1400,ST120,20
1401,ST001,1
1402,ST101,2
1403,ST002,3
1404,ST102,4
1405,ST003,5
1406,ST103,6
1407,ST004,7
1408,ST104,8
1409,ST005,9
1410,ST105,10
1411,ST006,11
1412,ST106,12
1413,ST007,13
1414,ST107,14
1415,ST008,15
1416,ST108,16
1417,ST009,17
1418,ST109,18
1419,ST010,19
1420,ST110,20
1421,ST011,1
1422,ST111,2
1423,ST012,3
1424,ST112,4
1425,ST013,5
1426,ST113,6
1427,ST014,7
1428,ST114,8
1429,ST015,9
1430,ST115,10
1431,ST016,11
1432,ST116,12
1433,ST017,13
1434,ST117,14
1435,ST018,15
1436,ST118,16
1437,ST019,17
1438,ST119,18
1439,ST020,19
1440,ST120,20
1441,ST001,1
1442,ST101,2
1443,ST002,3
1444,ST102,4
1445,ST003,5
1446,ST103,6
1447,ST004,7
1448,ST104,8
1449,ST005,9
1450,ST105,10
1451,ST006,11
1452,ST106,12
1453,ST007,13
1454,ST107,14
1455,ST008,15
1456,ST108,16
1457,ST009,17
1458,ST109,18
1459,ST010,19
1460,ST110,20
1461,ST011,1
1462,ST111,2
1463,ST012,3
1464,ST112,4
1465,ST013,5
1466,ST113,6
1467,ST014,7
1468,ST114,8
1469,ST015,9
1470,ST115,10
1471,ST016,11
1472,ST116,12
1473,ST017,13
1474,ST117,14
1475,ST018,15
1476,ST118,16
1477,ST019,17
1478,ST119,18
1479,ST020,19
1480,ST120,20
1481,ST001,1
1482,ST101,2
1483,ST002,3
1484,ST102,4
1485,ST003,5
1486,ST103,6
1487,ST004,7
1488,ST104,8
1489,ST005,9
1490,ST105,10
1491,ST006,11
1492,ST106,12
1493,ST007,13
1494,ST107,14
1495,ST008,15
1496,ST108,16
1497,ST009,17
1498,ST109,18
1499,ST010,19
1500,ST110,20
1501,ST011,1
1502,ST111,2
1503,ST012,3
1504,ST112,4
1505,ST013,5
1506,ST113,6
1507,ST014,7
1508,ST114,8
1509,ST015,9
1510,ST115,10
1511,ST016,11
1512,ST116,12
1513,ST017,13
1514,ST117,14
1515,ST018,15
1516,ST118,16
1517,ST019,17
1518,ST119,18
1519,ST020,19
1520,ST120,20
1521,ST001,1
1522,ST101,2
1523,ST002,3
1524,ST102,4
1525,ST003,5
1526,ST103,6
1527,ST004,7
1528,ST104,8
1529,ST005,9
1530,ST105,10
1531,ST006,11
1532,ST106,12
1533,ST007,13
1534,ST107,14
1535,ST008,15
1536,ST108,16
1537,ST009,17
1538,ST109,18
1539,ST010,19
1540,ST110,20
1541,ST011,1
1542,ST111,2
1543,ST012,3
1544,ST112,4
1545,ST013,5
1546,ST113,6
1547,ST014,7
1548,ST114,8
1549,ST015,9
1550,ST115,10
1551,ST016,11
1552,ST116,12
1553,ST017,13
1554,ST117,14
1555,ST018,15
1556,ST118,16
1557,ST019,17
1558,ST119,18
1559,ST020,19
1560,ST120,20
1561,ST001,1
1562,ST101,2
1563,ST002,3
1564,ST102,4
1565,ST003,5
1566,ST103,6
1567,ST004,7
1568,ST104,8
1569,ST005,9
1570,ST105,10
1571,ST006,11
1572,ST106,12
1573,ST007,13
1574,ST107,14
1575,ST008,15
1576,ST108,16
1577,ST009,17
1578,ST109,18
1579,ST010,19
1580,ST110,20
1581,ST011,1
1582,ST111,2
1583,ST012,3
1584,ST112,4
1585,ST013,5
1586,ST113,6
1587,ST014,7
1588,ST114,8
1589,ST015,9
1590,ST115,10
1591,ST016,11
1592,ST116,12
1593,ST017,13
1594,ST117,14
1595,ST018,15
1596,ST118,16
1597,ST019,17
1598,ST119,18
1599,ST020,19
1600,ST120,20
1601,ST001,1
1602,ST101,2
1603,ST002,3
1604,ST102,4
1605,ST003,5
1606,ST103,6
1607,ST004,7
1608,ST104,8
1609,ST005,9
1610,ST105,10
1611,ST006,11
1612,ST106,12
1613,ST007,13
1614,ST107,14
1615,ST008,15
1616,ST108,16
1617,ST009,17
1618,ST109,18
1619,ST010,19
1620,ST110,20
1621,ST011,1
1622,ST111,2
1623,ST012,3
1624,ST112,4
1625,ST013,5
1626,ST113,6
1627,ST014,7
1628,ST114,8
1629,ST015,9
1630,ST115,10
1631,ST016,11
1632,ST116,12
1633,ST017,13
1634,ST117,14
1635,ST018,15
1636,ST118,16
1637,ST019,17
1638,ST119,18
1639,ST020,19
1640,ST120,20
1641,ST001,1
1642,ST101,2
1643,ST002,3
1644,ST102,4
1645,ST003,5
1646,ST103,6
1647,ST004,7
1648,ST104,8
1649,ST005,9
1650,ST105,10
1651,ST006,11
1652,ST106,12
1653,ST007,13
1654,ST107,14
1655,ST008,15
1656,ST108,16
1657,ST009,17
1658,ST109,18
1659,ST010,19
1660,ST110,20
1661,ST011,1
1662,ST111,2
1663,ST012,3
